0.1 4.56 5.1377 4.6 5.8
0.3 5.37 5.25 5.8 6.2
0.5 6.58 6.53 6.6 6.9
1.2 11.91 10.74 11.2 9.8
1.5 13.35 12.53 12.6 11.2
